chemical_id,harmonized_chemical,query_name,analytes,parent_mapping_status,source_note
1,Ethylene oxide,ethylene oxide,EO_ln_S,parent,"EO is the measured parent VOC; HEMA is retained separately because its parent assignment is ambiguous"
2,"2,5-Dimethylfuran","2,5-dimethylfuran",X25_DMF_binary_S,direct_parent,"Direct serum VOC measurement"
3,Acrylonitrile,acrylonitrile,CEMA_CYM_ln_U|CYHA_Cys_binary_U,parent,"CYMA/CYHA are acrylonitrile mercapturic-acid metabolites"
4,Furan,furan,Furan_binary_S,direct_parent,"Direct serum VOC measurement"
5,Fluorene,fluorene,X2_FL_ln_U|X3_FL_ln_U,parent,"2-/3-hydroxyfluorene measurements harmonized to fluorene"
6,Toluene,toluene,Toluene_ln_S,direct_parent,"Direct serum VOC measurement"
7,"1,3-Butadiene","1,3-butadiene",MB3_Cys_ln_U,parent,"MB3 is a 1,3-butadiene mercapturic-acid metabolite"
8,Acrylamide,acrylamide,GAM_Cys_binary_U,parent,"GAMA is an acrylamide mercapturic-acid metabolite"
9,Cadmium,cadmium,Cd_ln_S|Cd_ln_U,direct_element,"Serum and urine cadmium are two measurements of the same element"
10,Naphthalene,naphthalene,X1_NP_ln_U|X2_NP_ln_U,parent,"1-/2-naphthol measurements harmonized to naphthalene"
11,Styrene,styrene,PHE_Cys_binary_U|MA_ln_U,parent,"PHE and mandelic acid are styrene metabolites"
12,Acrolein,acrolein,CEMA_CEM_ln_U|X3_HPMA_ln_U,parent,"CEMA and 3-HPMA are acrolein metabolites"
13,A-alpha-C,"2-amino-9H-pyrido[2,3-b]indole",A_a_C_binary_U,direct_parent,"A-alpha-C is an aromatic-amine analyte"
14,Benzene,benzene,Benzene_binary_S|PMA_binary_U,parent,"PMA is a benzene mercapturic-acid metabolite"
15,HEMA mercapturic acid,N-acetyl-S-(2-hydroxyethyl)-L-cysteine,HEMA_binary_U,ambiguous_parent,"HEMA has multiple reported VOC parent assignments; queried as the measured metabolite and flagged"
16,MeA-alpha-C,"2-amino-3-methyl-9H-pyrido[2,3-b]indole",MeA_a_C_binary_U,direct_parent,"MeA-alpha-C is an aromatic-amine analyte"
17,Mono-benzyl phthalate,mono-benzyl phthalate,MBzP_ln_U,direct_biomarker,"NHANES analyte retained as the queried chemical; parent BBzP is not substituted without an explicit harmonization rule"
18,Ethylbenzene,ethylbenzene,Ethylbenzene_binary_S,direct_parent,"Direct serum VOC measurement"
19,Isoprene,isoprene,IPM1_Cys_ln_U|IPM3_Cys_ln_U,parent,"IPM1/IPM3 are isoprene mercapturic-acid metabolites"
20,1-Aminonaphthalene,1-aminonaphthalene,X1_AN_ln_U,direct_parent,"Direct aromatic-amine analyte"
21,"N,N-Dimethylformamide","N,N-dimethylformamide",CMAC_ln_U,parent,"AMCC/CMAC is a dimethylformamide metabolite"
22,Xylene,"1,2-dimethylbenzene",o_Xylene_binary_S|X34_MHA_ln_U,parent,"o-Xylene and 3-/4-MHA harmonized to the xylene parent group; m-/p-xylene are recorded in Table Sx"
23,Phenanthrene,phenanthrene,X1_PH_ln_U|X23_OH_PH_ln_U,parent,"1-/2-/3-hydroxyphenanthrene measurements harmonized to phenanthrene"
24,Thiocyanate,thiocyanate,Thiocyanate_ln_U,direct_biomarker,"Measured urinary thiocyanate retained as an analyte"
25,"2,6-Dimethylaniline","2,6-dimethylaniline",X26_DMA_binary_U,direct_parent,"Direct aromatic-amine analyte"
26,Manganese,manganese,Mn_ln_S|Mn_binary_U,direct_element,"Serum and urine manganese are two measurements of the same element"
27,2-Aminonaphthalene,2-aminonaphthalene,X2_AN_ln_U,direct_parent,"Direct aromatic-amine analyte"
28,4-Aminobiphenyl,4-aminobiphenyl,X4_ABP_ln_U,direct_parent,"Direct aromatic-amine analyte"
29,Uranium,uranium,U_ln_U,direct_element,"Direct urinary uranium measurement"
30,Crotonaldehyde,crotonaldehyde,PMM_Cys_ln_U,parent,"PMM/HPMMA is a crotonaldehyde mercapturic-acid metabolite"
